"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2020","4","18","08:00","55.7","4.1","2.7","1"
"Helsinki Kallio 2","2020","4","18","09:00","58.4","2.6","1.7","1"
"Helsinki Kallio 2","2020","4","18","10:00","63.4","2.7","1","2"
"Helsinki Kallio 2","2020","4","18","11:00","65.2","4.6","1.3","2"
"Helsinki Kallio 2","2020","4","18","12:00","66.7","6.3","2.3","2"
"Helsinki Kallio 2","2020","4","18","13:00","66.3","5.1","1.7","2"
"Helsinki Kallio 2","2020","4","18","14:00","65.8","7.7","1.9","2"
"Helsinki Kallio 2","2020","4","18","15:00","65.5","7.3","1.9","2"
"Helsinki Kallio 2","2020","4","18","16:00","65.7","7","2.1","2"
"Helsinki Kallio 2","2020","4","18","17:00","65.9","5.8","1.9","2"
"Helsinki Kallio 2","2020","4","18","18:00","67.6","6.4","3.6","2"
"Helsinki Kallio 2","2020","4","18","19:00","71.5","10","4.9","2"
"Helsinki Kallio 2","2020","4","18","20:00","73.8","8.3","1.7","2"
"Helsinki Kallio 2","2020","4","18","21:00","69.7","7","2.7","2"
"Helsinki Kallio 2","2020","4","18","22:00","73.4","8.1","3.9","2"
"Helsinki Kallio 2","2020","4","18","23:00","72.2","7.1","3.8","2"
"Helsinki Kallio 2","2020","4","19","00:00","72.3","5.3","3.7","2"
"Helsinki Kallio 2","2020","4","19","01:00","72.1","5.4","3.9","2"
"Helsinki Kallio 2","2020","4","19","02:00","71.4","5.7","4.7","2"
"Helsinki Kallio 2","2020","4","19","03:00","70.8","5.6","4","2"
"Helsinki Kallio 2","2020","4","19","04:00","69.5","5.2","4.7","2"
"Helsinki Kallio 2","2020","4","19","05:00","68.2","5.3","5.1","2"
"Helsinki Kallio 2","2020","4","19","06:00","66.7","5.1","4.9","2"
"Helsinki Kallio 2","2020","4","19","07:00","64.3","5.3","4.9","2"
"Helsinki Kallio 2","2020","4","19","08:00","63.5","5.7","5.1","2"
"Helsinki Kallio 2","2020","4","19","09:00","63.3","5.8","4.8","2"
"Helsinki Kallio 2","2020","4","19","10:00","65.1","6.8","5.4","2"
"Helsinki Kallio 2","2020","4","19","11:00","68.1","7","6.1","2"
"Helsinki Kallio 2","2020","4","19","12:00","71.7","7","6.3","2"
"Helsinki Kallio 2","2020","4","19","13:00","72.3","8.1","6.6","2"
"Helsinki Kallio 2","2020","4","19","14:00","73.5","8.2","6.7","2"
"Helsinki Kallio 2","2020","4","19","15:00","74.1","8.4","5.2","2"
"Helsinki Kallio 2","2020","4","19","16:00","75","8","4.7","2"
"Helsinki Kallio 2","2020","4","19","17:00","74.9","8.6","6.2","2"
"Helsinki Kallio 2","2020","4","19","18:00","74.4","10.4","6.2","2"
"Helsinki Kallio 2","2020","4","19","19:00","74.4","9.2","5.4","2"
"Helsinki Kallio 2","2020","4","19","20:00","73.6","8.7","5.4","2"
"Helsinki Kallio 2","2020","4","19","21:00","73.8","10.2","6.4","2"
"Helsinki Kallio 2","2020","4","19","22:00","71.3","11.1","7","2"
"Helsinki Kallio 2","2020","4","19","23:00","68.1","11.9","7.7","2"
"Helsinki Kallio 2","2020","4","20","00:00","64.9","14.9","9.3","2"
"Helsinki Kallio 2","2020","4","20","01:00","68.4","11.8","8","2"
"Helsinki Kallio 2","2020","4","20","02:00","68.3","8","5.4","2"
"Helsinki Kallio 2","2020","4","20","03:00","68.2","6.1","4.1","2"
"Helsinki Kallio 2","2020","4","20","04:00","67.1","5.6","3.6","2"
"Helsinki Kallio 2","2020","4","20","05:00","65.4","5.2","3.3","2"
"Helsinki Kallio 2","2020","4","20","06:00","61.4","6.4","2.5","2"
"Helsinki Kallio 2","2020","4","20","07:00","53.1","12.9","4","1"
"Helsinki Kallio 2","2020","4","20","08:00","45.2","20.6","4","2"
"Helsinki Kallio 2","2020","4","20","09:00","53.8","21.7","5.1","2"
"Helsinki Kallio 2","2020","4","20","10:00","63.8","17.4","6.2","2"
"Helsinki Kallio 2","2020","4","20","11:00","72.3","14.8","3.6","2"
"Helsinki Kallio 2","2020","4","20","12:00","75.6","16.5","3.9","2"
"Helsinki Kallio 2","2020","4","20","13:00","73.6","22.2","5","2"
"Helsinki Kallio 2","2020","4","20","14:00","68.7","21","5.1","2"
"Helsinki Kallio 2","2020","4","20","15:00","70.8","19.6","5.3","2"
"Helsinki Kallio 2","2020","4","20","16:00","71.6","15.5","1.9","2"
"Helsinki Kallio 2","2020","4","20","17:00","71.9","17.2","5.4","2"
"Helsinki Kallio 2","2020","4","20","18:00","75.5","12.6","2.2","2"
"Helsinki Kallio 2","2020","4","20","19:00","75.4","11.4","4.5","2"
