"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2021","5","6","07:00","77","3.1","2.6","2"
"Helsinki Kallio 2","2021","5","6","08:00","71.8","4.5","3.5","2"
"Helsinki Kallio 2","2021","5","6","09:00","70.9","1","4","2"
"Helsinki Kallio 2","2021","5","6","10:00","64.1","4","1.9","2"
"Helsinki Kallio 2","2021","5","6","11:00","63.9","10.5","4.8","2"
"Helsinki Kallio 2","2021","5","6","12:00","57.5","13","5.1","1"
"Helsinki Kallio 2","2021","5","6","13:00","53","13.4","4.6","1"
"Helsinki Kallio 2","2021","5","6","14:00","52","16.6","6.2","1"
"Helsinki Kallio 2","2021","5","6","15:00","47.1","14.4","6","1"
"Helsinki Kallio 2","2021","5","6","16:00","50","13.1","4.7","1"
"Helsinki Kallio 2","2021","5","6","17:00","52.5","12.7","4.3","1"
"Helsinki Kallio 2","2021","5","6","18:00","57.8","10.7","6.1","1"
"Helsinki Kallio 2","2021","5","6","19:00","60.2","8","3.8","2"
"Helsinki Kallio 2","2021","5","6","20:00","52","8.4","4.2","1"
"Helsinki Kallio 2","2021","5","6","21:00","51.4","7.7","5.2","1"
"Helsinki Kallio 2","2021","5","6","22:00","56.4","5.8","4.5","1"
"Helsinki Kallio 2","2021","5","6","23:00","51.3","3.6","3.9","1"
"Helsinki Kallio 2","2021","5","7","00:00","58.2","1.1","1","1"
"Helsinki Kallio 2","2021","5","7","01:00","59.2","0.3","1.4","1"
"Helsinki Kallio 2","2021","5","7","02:00","56.9","2.1","1.7","1"
"Helsinki Kallio 2","2021","5","7","03:00","51.4","5.7","3","1"
"Helsinki Kallio 2","2021","5","7","04:00","44.1","0.6","1.5","1"
"Helsinki Kallio 2","2021","5","7","05:00","43","2.4","2.3","1"
"Helsinki Kallio 2","2021","5","7","06:00","38.1","4.4","3.4","1"
"Helsinki Kallio 2","2021","5","7","07:00","36","2.5","2.7","1"
"Helsinki Kallio 2","2021","5","7","08:00","30.3","3","3.4","1"
"Helsinki Kallio 2","2021","5","7","09:00","29.8","3.6","4","1"
"Helsinki Kallio 2","2021","5","7","10:00","32.8","4.2","4","1"
"Helsinki Kallio 2","2021","5","7","11:00","40.2","4.7","3","1"
"Helsinki Kallio 2","2021","5","7","12:00","48","4.3","3.5","1"
"Helsinki Kallio 2","2021","5","7","13:00","43.2","14.4","4.5","1"
"Helsinki Kallio 2","2021","5","7","14:00","47.9","20.2","6.2","2"
"Helsinki Kallio 2","2021","5","7","15:00","51.5","15.9","7.5","1"
"Helsinki Kallio 2","2021","5","7","16:00","55.4","9.7","4.5","1"
"Helsinki Kallio 2","2021","5","7","17:00","63","0.7","-1.3","2"
"Helsinki Kallio 2","2021","5","7","18:00","69","4","1.5","2"
"Helsinki Kallio 2","2021","5","7","19:00","71.3","6.5","4.4","2"
"Helsinki Kallio 2","2021","5","7","20:00","69.8","3","1","2"
"Helsinki Kallio 2","2021","5","7","21:00","72.1","5.4","3.7","2"
"Helsinki Kallio 2","2021","5","7","22:00","65.8","4.3","2.8","2"
"Helsinki Kallio 2","2021","5","7","23:00","70","1.9","1.2","2"
"Helsinki Kallio 2","2021","5","8","00:00","68.4","3.9","2.5","2"
"Helsinki Kallio 2","2021","5","8","01:00","67.1","3.1","2.1","2"
"Helsinki Kallio 2","2021","5","8","02:00","66.4","6.4","2.6","2"
"Helsinki Kallio 2","2021","5","8","03:00","65.9","1.6","2.7","2"
"Helsinki Kallio 2","2021","5","8","04:00","61","2.8","3.2","2"
"Helsinki Kallio 2","2021","5","8","05:00","60.4","2.7","2.2","2"
"Helsinki Kallio 2","2021","5","8","06:00","55.2","2.6","2.6","1"
"Helsinki Kallio 2","2021","5","8","07:00","58.6","2.6","2.3","1"
"Helsinki Kallio 2","2021","5","8","08:00","58.1","4.1","2.9","1"
"Helsinki Kallio 2","2021","5","8","09:00","52.2","4.3","3.3","1"
"Helsinki Kallio 2","2021","5","8","10:00","45.2","4.5","3.9","1"
"Helsinki Kallio 2","2021","5","8","11:00","54.8","4.8","4.2","1"
"Helsinki Kallio 2","2021","5","8","12:00","68.5","4.3","5.3","2"
"Helsinki Kallio 2","2021","5","8","13:00","74.6","4.9","5","2"
"Helsinki Kallio 2","2021","5","8","14:00","75.7","7.8","6.7","2"
"Helsinki Kallio 2","2021","5","8","15:00","79.8","3.8","4.8","2"
"Helsinki Kallio 2","2021","5","8","16:00","83.6","5.4","4.7","2"
"Helsinki Kallio 2","2021","5","8","17:00","85","2.8","2.5","2"
"Helsinki Kallio 2","2021","5","8","18:00","85.2","6.2","4","2"
"Helsinki Kallio 2","2021","5","8","19:00","84.5","14.6","7.6","2"
"Helsinki Kallio 2","2021","5","8","20:00","85.8","9.4","5.5","2"
"Helsinki Kallio 2","2021","5","8","21:00","82.1","6.9","4.7","2"
"Helsinki Kallio 2","2021","5","8","22:00","77.1","11.2","6.6","2"
"Helsinki Kallio 2","2021","5","8","23:00","73.8","10.7","6.3","2"
"Helsinki Kallio 2","2021","5","9","00:00","77.4","-0.1","1.7","2"
"Helsinki Kallio 2","2021","5","9","01:00","75.8","5.6","4.5","2"
"Helsinki Kallio 2","2021","5","9","02:00","75.2","6.3","5.1","2"
"Helsinki Kallio 2","2021","5","9","03:00","73.5","8","4.7","2"
"Helsinki Kallio 2","2021","5","9","04:00","71.4","3.1","4.6","2"
"Helsinki Kallio 2","2021","5","9","05:00","68.5","5.4","5.3","2"
"Helsinki Kallio 2","2021","5","9","06:00","62.4","4.8","5","2"
"Helsinki Kallio 2","2021","5","9","07:00","64.1","4.8","3.9","2"
"Helsinki Kallio 2","2021","5","9","08:00","68","3.4","4.3","2"
"Helsinki Kallio 2","2021","5","9","09:00","71.6","0.7","2.1","2"
"Helsinki Kallio 2","2021","5","9","10:00","74.4","14.2","9.9","2"
"Helsinki Kallio 2","2021","5","9","11:00","67.8","12","8.9","2"
"Helsinki Kallio 2","2021","5","9","12:00","76","9.9","7.7","2"
"Helsinki Kallio 2","2021","5","9","13:00","82.6","8.2","4.3","2"
"Helsinki Kallio 2","2021","5","9","14:00","85.5","2.9","2.6","2"
"Helsinki Kallio 2","2021","5","9","15:00","90","6.5","3.5","2"
"Helsinki Kallio 2","2021","5","9","16:00","90.6","5.3","3.3","2"
"Helsinki Kallio 2","2021","5","9","17:00","90.4","8.1","4.2","2"
"Helsinki Kallio 2","2021","5","9","18:00","88.3","14.4","8","2"
"Helsinki Kallio 2","2021","5","9","19:00","92","9.5","6.3","2"
"Helsinki Kallio 2","2021","5","9","20:00","89.5","8.1","5.3","2"
"Helsinki Kallio 2","2021","5","9","21:00","72.3","12","8.2","2"
"Helsinki Kallio 2","2021","5","9","22:00","67.6","8.6","5.7","2"
"Helsinki Kallio 2","2021","5","9","23:00","76.2","5.3","3.8","2"
"Helsinki Kallio 2","2021","5","10","00:00","79.8","8.4","6.1","2"
"Helsinki Kallio 2","2021","5","10","01:00","63.9","6.8","5","2"
"Helsinki Kallio 2","2021","5","10","02:00","72.1","8.2","6.1","2"
"Helsinki Kallio 2","2021","5","10","03:00","86.3","5.2","3","2"
"Helsinki Kallio 2","2021","5","10","04:00","83.8","4.8","3.5","2"
"Helsinki Kallio 2","2021","5","10","05:00","80.7","4.1","3","2"
"Helsinki Kallio 2","2021","5","10","06:00","76.5","5.3","4.4","2"
"Helsinki Kallio 2","2021","5","10","07:00","67.5","5","4.6","2"
"Helsinki Kallio 2","2021","5","10","08:00","53.5","8.2","6.3","1"
"Helsinki Kallio 2","2021","5","10","09:00","50.3","12.3","8.2","1"
"Helsinki Kallio 2","2021","5","10","10:00","62.1","16.1","10.3","2"
"Helsinki Kallio 2","2021","5","10","11:00","63.6","11.4","8.4","2"
"Helsinki Kallio 2","2021","5","10","12:00","66.5","12.2","10.2","2"
"Helsinki Kallio 2","2021","5","10","13:00","57.3","10.7","8.8","1"
"Helsinki Kallio 2","2021","5","10","14:00","40.8","16.6","11.4","2"
"Helsinki Kallio 2","2021","5","10","15:00","45.1","21.9","10.9","2"
"Helsinki Kallio 2","2021","5","10","16:00","48.2","33.3","11.5","2"
"Helsinki Kallio 2","2021","5","10","17:00","59.8","33.3","11.5","2"
"Helsinki Kallio 2","2021","5","10","18:00","70.3","27.4","11.9","2"
"Helsinki Kallio 2","2021","5","10","19:00","84.8","24.9","11","2"
"Helsinki Kallio 2","2021","5","10","20:00","89.3","19.6","8.6","2"
"Helsinki Kallio 2","2021","5","10","21:00","71.9","22.5","9.6","2"
"Helsinki Kallio 2","2021","5","10","22:00","70.3","23.4","10.8","2"
"Helsinki Kallio 2","2021","5","10","23:00","75.5","19.2","9","2"
"Helsinki Kallio 2","2021","5","11","00:00","79.8","18.9","10.5","2"
"Helsinki Kallio 2","2021","5","11","01:00","94.9","17.8","8","2"
"Helsinki Kallio 2","2021","5","11","02:00","94.2","16.5","8","2"
"Helsinki Kallio 2","2021","5","11","03:00","85.5","14.8","9.2","2"
"Helsinki Kallio 2","2021","5","11","04:00","83.4","14.9","8.1","2"
"Helsinki Kallio 2","2021","5","11","05:00","79.5","14.9","7.8","2"
"Helsinki Kallio 2","2021","5","11","06:00","75.5","15.1","8.8","2"
"Helsinki Kallio 2","2021","5","11","07:00","74.8","15.4","8","2"
"Helsinki Kallio 2","2021","5","11","08:00","64.7","26.7","8","2"
"Helsinki Kallio 2","2021","5","11","09:00","67","28.4","10.4","2"
"Helsinki Kallio 2","2021","5","11","10:00","70.7","29.7","9.5","2"
"Helsinki Kallio 2","2021","5","11","11:00","76.6","35.6","11.2","2"
"Helsinki Kallio 2","2021","5","11","12:00","75.9","26.6","11","2"
"Helsinki Kallio 2","2021","5","11","13:00","82.1","31.7","11.1","2"
"Helsinki Kallio 2","2021","5","11","14:00","78.5","28.9","10.5","2"
"Helsinki Kallio 2","2021","5","11","15:00","81.3","30","11.8","2"
"Helsinki Kallio 2","2021","5","11","16:00","91.7","29.5","12.6","2"
"Helsinki Kallio 2","2021","5","11","17:00","98.7","30","11","2"
"Helsinki Kallio 2","2021","5","11","18:00","103.7","29.3","11","3"
"Helsinki Kallio 2","2021","5","11","19:00","102.6","28.6","9.8","3"
"Helsinki Kallio 2","2021","5","11","20:00","85","24","9.2","2"
"Helsinki Kallio 2","2021","5","11","21:00","91.3","25.3","9.9","2"
"Helsinki Kallio 2","2021","5","11","22:00","82.9","23.4","11.9","2"
"Helsinki Kallio 2","2021","5","11","23:00","84.8","24.9","10.8","2"
"Helsinki Kallio 2","2021","5","12","00:00","79.4","19.1","7.9","2"
"Helsinki Kallio 2","2021","5","12","01:00","75.1","17.6","7.3","2"
"Helsinki Kallio 2","2021","5","12","02:00","74.3","15.7","5.8","2"
"Helsinki Kallio 2","2021","5","12","03:00","76.2","13.3","6.1","2"
"Helsinki Kallio 2","2021","5","12","04:00","77.9","14","6.9","2"
"Helsinki Kallio 2","2021","5","12","05:00","72.3","15.4","8.4","2"
"Helsinki Kallio 2","2021","5","12","06:00","78.2","13.6","6","2"
"Helsinki Kallio 2","2021","5","12","07:00","75.9","14.8","6.3","2"
"Helsinki Kallio 2","2021","5","12","08:00","71.9","20.7","6.9","2"
"Helsinki Kallio 2","2021","5","12","09:00","70.1","28","8.6","2"
"Helsinki Kallio 2","2021","5","12","10:00","71.3","22.9","7.9","2"
"Helsinki Kallio 2","2021","5","12","11:00","80.2","26.4","9.1","2"
"Helsinki Kallio 2","2021","5","12","12:00","87.9","25","9.6","2"
"Helsinki Kallio 2","2021","5","12","13:00","94.6","21.5","8.4","2"
"Helsinki Kallio 2","2021","5","12","14:00","100.9","26.7","8.2","3"
"Helsinki Kallio 2","2021","5","12","15:00","108.2","25","8.4","3"
"Helsinki Kallio 2","2021","5","12","16:00","117.2","23.4","9","3"
"Helsinki Kallio 2","2021","5","12","17:00","117.6","24.5","9.6","3"
"Helsinki Kallio 2","2021","5","12","18:00","112.9","24.2","11.8","3"
"Helsinki Kallio 2","2021","5","12","19:00","104.5","29.8","12","3"
"Helsinki Kallio 2","2021","5","12","20:00","107.3","26.9","10.5","3"
"Helsinki Kallio 2","2021","5","12","21:00","113","27.1","15.3","3"
"Helsinki Kallio 2","2021","5","12","22:00","114.8","24.2","13.4","3"
"Helsinki Kallio 2","2021","5","12","23:00","107.6","22.7","11.3","3"
"Helsinki Kallio 2","2021","5","13","00:00","104.4","26.3","13.2","3"
"Helsinki Kallio 2","2021","5","13","01:00","97.9","24.2","14.8","2"
"Helsinki Kallio 2","2021","5","13","02:00","94.1","26.5","17.2","2"
"Helsinki Kallio 2","2021","5","13","03:00","94.7","27.6","19","2"
"Helsinki Kallio 2","2021","5","13","04:00","90","26.2","18.5","2"
"Helsinki Kallio 2","2021","5","13","05:00","86.2","24.5","18.2","2"
"Helsinki Kallio 2","2021","5","13","06:00","84.1","22.4","17.7","2"
"Helsinki Kallio 2","2021","5","13","07:00","82.5","22.9","16.7","2"
"Helsinki Kallio 2","2021","5","13","08:00","79.8","24.9","15.9","2"
"Helsinki Kallio 2","2021","5","13","09:00","79.7","28","14.5","2"
"Helsinki Kallio 2","2021","5","13","10:00","87.6","26.8","15.7","2"
"Helsinki Kallio 2","2021","5","13","11:00","96.7","28.4","16.9","2"
"Helsinki Kallio 2","2021","5","13","12:00","113.9","39.4","23.6","3"
"Helsinki Kallio 2","2021","5","13","13:00","116","60.7","33","3"
"Helsinki Kallio 2","2021","5","13","14:00","126.8","45.1","30.6","3"
"Helsinki Kallio 2","2021","5","13","15:00","134.2","43","32.4","3"
"Helsinki Kallio 2","2021","5","13","16:00","132.1","33.2","26.7","3"
"Helsinki Kallio 2","2021","5","13","17:00","136.6","30","23.2","3"
"Helsinki Kallio 2","2021","5","13","18:00","126.9","34.1","23.4","3"
"Helsinki Kallio 2","2021","5","13","19:00","125.7","31.9","22.7","3"
"Helsinki Kallio 2","2021","5","13","20:00","125.8","30","22.9","3"
"Helsinki Kallio 2","2021","5","13","21:00","125.4","26.4","19.9","3"
"Helsinki Kallio 2","2021","5","13","22:00","109.5","24.5","18.6","3"
"Helsinki Kallio 2","2021","5","13","23:00","97.8","18.9","11.8","2"
"Helsinki Kallio 2","2021","5","14","00:00","83.2","10.7","7","2"
"Helsinki Kallio 2","2021","5","14","01:00","75.1","13.5","7.9","2"
"Helsinki Kallio 2","2021","5","14","02:00","67.4","20.3","12.2","2"
"Helsinki Kallio 2","2021","5","14","03:00","67.8","13.8","9","2"
"Helsinki Kallio 2","2021","5","14","04:00","60.9","15.4","9.9","2"
"Helsinki Kallio 2","2021","5","14","05:00","60.3","17.2","10.5","2"
"Helsinki Kallio 2","2021","5","14","06:00","57.1","15.7","8.4","1"
"Helsinki Kallio 2","2021","5","14","07:00","61.6","15.9","7.6","2"
"Helsinki Kallio 2","2021","5","14","08:00","61.3","14.1","5.6","2"
"Helsinki Kallio 2","2021","5","14","09:00","57.2","18.8","6","1"
"Helsinki Kallio 2","2021","5","14","10:00","69.6","16.4","5.9","2"
"Helsinki Kallio 2","2021","5","14","11:00","78.5","13.2","4.5","2"
"Helsinki Kallio 2","2021","5","14","12:00","74.3","20.2","9.3","2"
"Helsinki Kallio 2","2021","5","14","13:00","81.5","13.4","5.3","2"
"Helsinki Kallio 2","2021","5","14","14:00","85.2","15.8","7.4","2"
"Helsinki Kallio 2","2021","5","14","15:00","89.1","10","6.3","2"
"Helsinki Kallio 2","2021","5","14","16:00","89.9","11.1","3.6","2"
"Helsinki Kallio 2","2021","5","14","17:00","93.4","17.3","5.9","2"
"Helsinki Kallio 2","2021","5","14","18:00","98.8","13.8","3.6","2"
"Helsinki Kallio 2","2021","5","14","19:00","95.9","16.7","7.5","2"
"Helsinki Kallio 2","2021","5","14","20:00","95.6","11.1","5.2","2"
"Helsinki Kallio 2","2021","5","14","21:00","89.2","9.1","3.4","2"
"Helsinki Kallio 2","2021","5","14","22:00","84.9","9.2","4","2"
"Helsinki Kallio 2","2021","5","14","23:00","79.1","10.2","5.9","2"
"Helsinki Kallio 2","2021","5","15","00:00","74","11.8","6.7","2"
"Helsinki Kallio 2","2021","5","15","01:00","67.4","13.7","6.5","2"
"Helsinki Kallio 2","2021","5","15","02:00","68.2","14","6.9","2"
"Helsinki Kallio 2","2021","5","15","03:00","64.4","12.5","8.2","2"
"Helsinki Kallio 2","2021","5","15","04:00","64.1","14.4","9.3","2"
"Helsinki Kallio 2","2021","5","15","05:00","64.7","11.9","7.7","2"
"Helsinki Kallio 2","2021","5","15","06:00","62.3","13.8","8.5","2"
"Helsinki Kallio 2","2021","5","15","07:00","63.2","13.9","8.6","2"
"Helsinki Kallio 2","2021","5","15","08:00","65","15.8","10.7","2"
"Helsinki Kallio 2","2021","5","15","09:00","65.9","14.8","11.4","2"
"Helsinki Kallio 2","2021","5","15","10:00","66.4","15.5","11.5","2"
"Helsinki Kallio 2","2021","5","15","11:00","67.2","15.8","12.3","2"
"Helsinki Kallio 2","2021","5","15","12:00","62.6","15.8","10.9","2"
"Helsinki Kallio 2","2021","5","15","13:00","67.3","16.6","11.1","2"
"Helsinki Kallio 2","2021","5","15","14:00","74.9","11.2","8.8","2"
"Helsinki Kallio 2","2021","5","15","15:00","91.3","7.9","5.8","2"
"Helsinki Kallio 2","2021","5","15","16:00","99.1","10.6","8.4","2"
"Helsinki Kallio 2","2021","5","15","17:00","98.7","11.3","6.5","2"
"Helsinki Kallio 2","2021","5","15","18:00","95.4","4.8","4.2","2"
"Helsinki Kallio 2","2021","5","15","19:00","82","14.1","9.8","2"
"Helsinki Kallio 2","2021","5","15","20:00","86.2","11","5.2","2"
"Helsinki Kallio 2","2021","5","15","21:00","87.9","13.1","8.9","2"
"Helsinki Kallio 2","2021","5","15","22:00","73.2","21.6","13.4","2"
"Helsinki Kallio 2","2021","5","15","23:00","61.6","19.2","13.9","2"
"Helsinki Kallio 2","2021","5","16","00:00","64.7","10.4","7.9","2"
"Helsinki Kallio 2","2021","5","16","01:00","71.4","6.6","3.8","2"
"Helsinki Kallio 2","2021","5","16","02:00","78.5","4.6","2.3","2"
"Helsinki Kallio 2","2021","5","16","03:00","77.9","3.9","2.1","2"
"Helsinki Kallio 2","2021","5","16","04:00","75","3.6","3","2"
"Helsinki Kallio 2","2021","5","16","05:00","73.2","5.8","3.8","2"
"Helsinki Kallio 2","2021","5","16","06:00","67.7","8.9","4.7","2"
"Helsinki Kallio 2","2021","5","16","07:00","66.5","2.3","3","2"
"Helsinki Kallio 2","2021","5","16","08:00","69.8","3","3","2"
"Helsinki Kallio 2","2021","5","16","09:00","70.3","5.7","4.7","2"
"Helsinki Kallio 2","2021","5","16","10:00","70.8","4.7","4.2","2"
"Helsinki Kallio 2","2021","5","16","11:00","71.1","3","3","2"
"Helsinki Kallio 2","2021","5","16","12:00","83.3","5.8","3.4","2"
"Helsinki Kallio 2","2021","5","16","13:00","90.3","6.1","3.1","2"
"Helsinki Kallio 2","2021","5","16","14:00","97.2","7.5","3.9","2"
"Helsinki Kallio 2","2021","5","16","15:00","98.2","6.9","4.7","2"
"Helsinki Kallio 2","2021","5","16","16:00","89.2","3.5","0.8","2"
"Helsinki Kallio 2","2021","5","16","17:00","90.9","-2.2","-2.6","2"
"Helsinki Kallio 2","2021","5","16","18:00","92.9","4.8","0.6","2"
"Helsinki Kallio 2","2021","5","16","19:00","91.8","3.4","3","2"
"Helsinki Kallio 2","2021","5","16","20:00","86.9","7.5","2.5","2"
"Helsinki Kallio 2","2021","5","16","21:00","83","6.4","2.6","2"
"Helsinki Kallio 2","2021","5","16","22:00","60","11.6","4.7","1"
"Helsinki Kallio 2","2021","5","16","23:00","51.1","10.7","5.4","1"
"Helsinki Kallio 2","2021","5","17","00:00","60.5","6.2","4.1","2"
"Helsinki Kallio 2","2021","5","17","01:00","51.9","6.5","2.9","1"
"Helsinki Kallio 2","2021","5","17","02:00","49.3","5.6","3.1","1"
"Helsinki Kallio 2","2021","5","17","03:00","49.4","4.3","1.8","1"
"Helsinki Kallio 2","2021","5","17","04:00","49.2","2.9","2","1"
"Helsinki Kallio 2","2021","5","17","05:00","54.4","3.6","2.4","1"
"Helsinki Kallio 2","2021","5","17","06:00","66.3","6.7","4.3","2"
"Helsinki Kallio 2","2021","5","17","07:00","76.4","13.2","6.7","2"
"Helsinki Kallio 2","2021","5","17","08:00","68.3","27.9","11.5","2"
"Helsinki Kallio 2","2021","5","17","09:00","66.7","25.9","11.8","2"
"Helsinki Kallio 2","2021","5","17","10:00","61.6","21.4","12.7","2"
"Helsinki Kallio 2","2021","5","17","11:00","64.9","32","16.7","2"
"Helsinki Kallio 2","2021","5","17","12:00","70.6","22.3","13","2"
"Helsinki Kallio 2","2021","5","17","13:00","73.8","31","14.5","2"
"Helsinki Kallio 2","2021","5","17","14:00","73.5","48.7","22.4","2"
"Helsinki Kallio 2","2021","5","17","15:00","68.1","36.5","18.4","2"
"Helsinki Kallio 2","2021","5","17","16:00","53.6","32","18.2","2"
"Helsinki Kallio 2","2021","5","17","17:00","71.8","18.9","11.9","2"
"Helsinki Kallio 2","2021","5","17","18:00","82.5","11.7","9.4","2"
"Helsinki Kallio 2","2021","5","17","19:00","84.8","5.8","4.6","2"
"Helsinki Kallio 2","2021","5","17","20:00","88.1","8.4","7","2"
"Helsinki Kallio 2","2021","5","17","21:00","77.1","2.5","4.2","2"
"Helsinki Kallio 2","2021","5","17","22:00","65.8","8.8","7.7","2"
"Helsinki Kallio 2","2021","5","17","23:00","63.1","4.6","4.8","2"
"Helsinki Kallio 2","2021","5","18","00:00","45.6","4.7","4.6","1"
"Helsinki Kallio 2","2021","5","18","01:00","55.3","5.4","4.1","1"
"Helsinki Kallio 2","2021","5","18","02:00","67.3","1.6","3.3","2"
"Helsinki Kallio 2","2021","5","18","03:00","74.8","0.5","2.5","2"
"Helsinki Kallio 2","2021","5","18","04:00","79.1","3.4","3.7","2"
"Helsinki Kallio 2","2021","5","18","05:00","79.3","3.5","4.6","2"
"Helsinki Kallio 2","2021","5","18","06:00","76","4.3","4.8","2"
"Helsinki Kallio 2","2021","5","18","07:00","67.6","6.9","5.6","2"
"Helsinki Kallio 2","2021","5","18","08:00","62","10.6","6.9","2"
"Helsinki Kallio 2","2021","5","18","09:00","58.4","13.3","7.3","1"
"Helsinki Kallio 2","2021","5","18","10:00","57.7","22.5","12.6","2"
"Helsinki Kallio 2","2021","5","18","11:00","59.3","15.4","7.5","1"
"Helsinki Kallio 2","2021","5","18","12:00","56.1","16","8.6","1"
"Helsinki Kallio 2","2021","5","18","13:00","53.2","20.2","8.3","2"
"Helsinki Kallio 2","2021","5","18","14:00","63.4","15.2","6.8","2"
"Helsinki Kallio 2","2021","5","18","15:00","74.4","12.7","5.6","2"
"Helsinki Kallio 2","2021","5","18","16:00","57.1","24.5","10.5","2"
"Helsinki Kallio 2","2021","5","18","17:00","48.3","18.8","11.5","2"
"Helsinki Kallio 2","2021","5","18","18:00","58.7","8.1","7.5","1"
"Helsinki Kallio 2","2021","5","18","19:00","67.3","8.6","8.7","2"
"Helsinki Kallio 2","2021","5","18","20:00","62.4","7.3","2.2","2"
"Helsinki Kallio 2","2021","5","18","21:00","76.2","2.9","-0.4","2"
"Helsinki Kallio 2","2021","5","18","22:00","70.5","5.3","2.4","2"
"Helsinki Kallio 2","2021","5","18","23:00","66.6","6","3.5","2"
"Helsinki Kallio 2","2021","5","19","00:00","59","9.3","4.9","1"
"Helsinki Kallio 2","2021","5","19","01:00","52.7","5.8","6.2","1"
"Helsinki Kallio 2","2021","5","19","02:00","46","6.9","6.6","1"
"Helsinki Kallio 2","2021","5","19","03:00","38.9","6.2","5","1"
"Helsinki Kallio 2","2021","5","19","04:00","36","6.3","5.9","1"
"Helsinki Kallio 2","2021","5","19","05:00","36","6.2","5.3","1"
"Helsinki Kallio 2","2021","5","19","06:00","35.3","5.5","5.8","1"
"Helsinki Kallio 2","2021","5","19","07:00","28.7","6.9","6.4","1"
"Helsinki Kallio 2","2021","5","19","08:00","11.2","9.5","9.9","1"
"Helsinki Kallio 2","2021","5","19","09:00","14.6","8.7","4.2","1"
"Helsinki Kallio 2","2021","5","19","10:00","19.9","12.7","6.1","1"
"Helsinki Kallio 2","2021","5","19","11:00","25.7","9","4.4","1"
"Helsinki Kallio 2","2021","5","19","12:00","33.2","4.6","4.1","1"
"Helsinki Kallio 2","2021","5","19","13:00","34.8","9.6","7.7","1"
"Helsinki Kallio 2","2021","5","19","14:00","27.8","14.5","7.2","1"
"Helsinki Kallio 2","2021","5","19","15:00","20.9","19.5","8.3","1"
"Helsinki Kallio 2","2021","5","19","16:00","16.3","23.3","9.8","2"
"Helsinki Kallio 2","2021","5","19","17:00","17.5","25.4","10.2","2"
"Helsinki Kallio 2","2021","5","19","18:00","42.3","21.3","7.4","2"
"Helsinki Kallio 2","2021","5","19","19:00","43","7.7","1.2","1"
"Helsinki Kallio 2","2021","5","19","20:00","49.9","0","-0.5","1"
"Helsinki Kallio 2","2021","5","19","21:00","52.8","-3.4","-1.9","1"
"Helsinki Kallio 2","2021","5","19","22:00","57.2","-1.2","-1.7","1"
"Helsinki Kallio 2","2021","5","19","23:00","62","0.5","-0.2","2"
"Helsinki Kallio 2","2021","5","20","00:00","67","0.9","-0.1","2"
"Helsinki Kallio 2","2021","5","20","01:00","69.5","2.8","1.7","2"
"Helsinki Kallio 2","2021","5","20","02:00","70.1","1","0.2","2"
"Helsinki Kallio 2","2021","5","20","03:00","71.5","0.3","0.8","2"
"Helsinki Kallio 2","2021","5","20","04:00","71.7","0.1","0.1","2"
"Helsinki Kallio 2","2021","5","20","05:00","71.6","-0.2","1.2","2"
"Helsinki Kallio 2","2021","5","20","06:00","71.4","2","1.6","2"
"Helsinki Kallio 2","2021","5","20","07:00","68.5","3.5","1.7","2"
"Helsinki Kallio 2","2021","5","20","08:00","60.4","-0.6","2.4","2"
"Helsinki Kallio 2","2021","5","20","09:00","56.7","1.6","2","1"
"Helsinki Kallio 2","2021","5","20","10:00","56.4","1.8","2","1"
"Helsinki Kallio 2","2021","5","20","11:00","53","3.9","1.4","1"
"Helsinki Kallio 2","2021","5","20","12:00","59.6","4.7","0.5","1"
"Helsinki Kallio 2","2021","5","20","13:00","62.2","19.2","2.6","2"
"Helsinki Kallio 2","2021","5","20","14:00","60","12","2.4","1"
"Helsinki Kallio 2","2021","5","20","15:00","61.8","14.5","1.9","2"
"Helsinki Kallio 2","2021","5","20","16:00","67.9","31.5","2.4","2"
"Helsinki Kallio 2","2021","5","20","17:00","66.9","14.4","3.4","2"
"Helsinki Kallio 2","2021","5","20","18:00","59","18.2","5.6","1"
"Helsinki Kallio 2","2021","5","20","19:00","49.5","17","8.6","1"
"Helsinki Kallio 2","2021","5","20","20:00","50.5","5.5","2.9","1"
"Helsinki Kallio 2","2021","5","20","21:00","47.5","4.8","4","1"
"Helsinki Kallio 2","2021","5","20","22:00","50.3","5.3","3.3","1"
"Helsinki Kallio 2","2021","5","20","23:00","48.2","4.1","2.9","1"
"Helsinki Kallio 2","2021","5","21","00:00","48.5","3.8","2.7","1"
"Helsinki Kallio 2","2021","5","21","01:00","47.5","3.1","1.8","1"
"Helsinki Kallio 2","2021","5","21","02:00","57.2","-0.1","-0.2","1"
"Helsinki Kallio 2","2021","5","21","03:00","58.6","0.7","0","1"
"Helsinki Kallio 2","2021","5","21","04:00","63.1","0.1","-1.3","2"
"Helsinki Kallio 2","2021","5","21","05:00","64.5","-0.6","-0.7","2"
"Helsinki Kallio 2","2021","5","21","06:00","63.7","-1.3","0.8","2"
"Helsinki Kallio 2","2021","5","21","07:00","64.5","-1","-0.1","2"
